log start
[22:24:22] init;
[22:24:22] {y=24, x=104, vx=-49.9725, vy=-10.8833, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:22] {y=24, x=84, vx=-39.978, vy=-10.6613, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:22] {y=24, x=84, vx=-39.978, vy=-10.3287, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:23] {y=24, x=94, vx=-39.978, vy=33.3984, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:23] {y=24, x=94, vx=-39.978, vy=32.3166, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:23] {y=24, x=94, vx=-39.978, vy=31.2889, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:23] {y=24, x=94, vx=-39.312, vy=30.3177, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:23] {y=24, x=95, vx=-39.1457, vy=29.4014, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:23] {y=24, x=97, vx=-39.4791, vy=28.5408, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:24] {y=24, x=141, vx=-40.1505, vy=24.9779, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:24] {y=24, x=141, vx=-40.1505, vy=26.3374, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:24] {y=24, x=141, vx=-40.1505, vy=27.8076, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:24] {y=24, x=141, vx=-40.1505, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:24] {y=24, x=141, vx=-40.1505, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:24] {y=24, x=141, vx=-40.1505, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:25] {y=24, x=161, vx=-40.1527, vy=19.989, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:25] {y=24, x=161, vx=-40.1527, vy=19.989, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:25] {y=24, x=161, vx=-40.1527, vy=19.989, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:25] {y=24, x=161, vx=-40.1527, vy=19.989, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:25] {y=24, x=161, vx=-40.1527, vy=19.989, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:25] {y=24, x=161, vx=-40.1527, vy=19.989, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:26] {y=24, x=186, vx=-39.9895, vy=11.2091, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:26] {y=24, x=186, vx=-39.9895, vy=12.4023, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:26] {y=24, x=186, vx=-39.9895, vy=13.7062, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:26] {y=24, x=186, vx=-39.9895, vy=14.9918, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:26] {y=24, x=186, vx=-39.9895, vy=14.9918, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:26] {y=24, x=186, vx=-39.9895, vy=14.9918, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:27] {y=24, x=198, vx=-39.991, vy=-4.5334, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:27] {y=24, x=198, vx=-39.991, vy=-5.0606, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:27] {y=24, x=198, vx=-39.991, vy=-5.5328, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:27] {y=24, x=198, vx=-40.657, vy=-5.9494, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:27] {y=24, x=197, vx=-40.8234, vy=-6.3103, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:27] {y=24, x=195, vx=-40.49, vy=-6.6162, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:28] {y=24, x=195, vx=-39.1579, vy=1.0002, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:28] {y=24, x=197, vx=-39.4913, vy=0.75, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:28] {y=24, x=198, vx=-39.325, vy=0.5554, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:28] {y=24, x=199, vx=-39.1586, vy=0.4166, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
